Player,Nation,Position,Team,Age,Weekly,Annual
Moisés Caicedo,ECU,"MF,DF",Chelsea,23.501447346469316,199391.2295865416,9724220.60479691
Donyell Malen,NED,FW,Aston Villa,24.65599898629534,206485.30333321032,9648799.884372463
Darwin Núñez,URU,FW,Liverpool,23.542755404681156,183053.8110281949,8161820.1425204845
Diogo Jota,POR,FW,Liverpool,29.14178702421319,170023.8037104058,9306900.280859351
Amadou Onana,BEL,MF,Aston Villa,22.891496175575316,154844.58997153875,8438845.10509874
Jamie Vardy,ENG,FW,Leicester City,36.5469680700546,172785.93018112253,8575178.676457444
Noussair Mazraoui,MAR,DF,Manchester Utd,26.15811430558339,168535.06317948014,9130246.361640986
Mikel Merino,ESP,"MF,FW",Arsenal,29.671780002399494,147977.85515257443,8859068.91665524
Ollie Watkins,ENG,FW,Aston Villa,25.298084933450067,162614.70285735079,7740408.702000536
Matheus Nunes,POR,"DF,MF",Manchester City,25.768042050038474,153833.84620078333,7896459.151121197
Cole Palmer,ENG,MF,Chelsea,19.829185926321543,153279.23338911135,7954027.557171405
João Félix,POR,"FW,MF",Chelsea,24.93377952292952,166213.15161217918,7691542.710806474
Abdoulaye Doucouré,MLI,MF,Everton,28.372581678792333,144124.6518717924,9044928.30498222
Bernd Leno,GER,GK,Fulham,31.12948517786156,150107.62398809666,8194746.99469378
Danny Ings,ENG,"FW,MF",West Ham,31.234156526218502,147359.1786354224,7707391.570663367
Jordan Pickford,ENG,GK,Everton,31.687265170530182,155074.66466947994,7738998.328591685
Riccardo Calafiori,ITA,DF,Arsenal,21.49729341150981,136902.55901655543,7866811.8174447995
André Onana,CMR,GK,Manchester Utd,27.333664088315548,139968.17913350626,7633337.766297354
Lisandro Martínez,ARG,DF,Manchester Utd,24.7362220566787,134471.13502832712,8069085.074789025
Manuel Ugarte,,DM,Manchester Utd,23.191047679539384,159286.77978644677,7644267.008559995
Victor Lindelöf,SWE,DF,Manchester Utd,28.76289815568663,160248.58963358265,7734174.815016666
Aaron Ramsdale,ENG,GK,Southampton,23.95425672870172,159467.25024557384,7394873.73600674
Alphonse Areola,FRA,GK,West Ham,29.73629289258535,154146.89675385223,6931139.950071779
Cody Gakpo,NED,FW,Liverpool,23.926385924948917,159700.55822126163,7161123.207604004
Dominik Szoboszlai,HUN,MF,Liverpool,25.031393100892668,146911.03056206118,7907394.717062671
John McGinn,SCO,"MF,FW",Aston Villa,26.544546470845873,146707.80660424332,7418901.231058078
Leon Bailey,JAM,"FW,MF",Aston Villa,24.697611365816627,147929.5177436736,7238189.656417189
Lucas Digne,FRA,DF,Aston Villa,32.89262788385745,147318.21815352896,8076437.352939233
Alexander Isak,SWE,FW,Newcastle Utd,25.163677583794247,150272.32615762757,7486162.0373574495
Kieran Trippier,ENG,DF,Newcastle Utd,32.23417387132739,145642.23223513577,7547952.767053949
Sandro Tonali,ITA,MF,Newcastle Utd,25.49957511109219,157683.40846605442,7048448.233928283
Tosin Adarabioyo,ENG,DF,Chelsea,28.13974738704678,147371.42842774966,7272070.418677778
Idrissa Gana Gueye,SEN,MF,Everton,34.70548163069107,132678.04630019818,7596571.3622960085
Marco Asensio,ESP,MF,Aston Villa,27.881808143461882,171995.11476153848,7598155.729425719
James Ward-Prowse,ENG,MF,West Ham,31.355962630722885,144198.4951160022,7412766.419387982
Leny Yoro,,CB,Manchester Utd,20.657213102346667,146601.18440140632,7959146.501705635
Raheem Sterling,ENG,"FW,MF",Arsenal,31.13822787046382,145104.08696459423,7471385.302717476
Jorginho,ITA,MF,Arsenal,31.32314706924815,122991.30222921372,6807504.248633114
Kieran Tierney,SCO,"DF,FW",Arsenal,24.88716824149625,141601.48597612212,7116801.88606259
Dejan Kulusevski,SWE,"MF,FW",Tottenham,24.08371505724184,145181.70024895223,7280426.886066447
Joshua Zirkzee,NED,"FW,MF",Manchester Utd,22.280137267249614,128776.07352518977,6073774.004245424
Daichi Kamada,JPN,MF,Crystal Palace,29.00706899392156,139612.42878622992,7160795.213842359
Nikola Milenković,SRB,DF,Nott'ham Forest,26.564002041735595,127489.90455742662,6637070.607920926
Ben Chilwell,ENG,DF,Crystal Palace,27.999146878426053,122189.19412370912,7199629.444381315
David Raya,ESP,GK,Arsenal,29.774746228000666,114105.14187789918,6721005.662348574
Gabriel Magalhães,BRA,DF,Arsenal,23.98068452304116,126761.15103337516,6384796.144965779
Takehiro Tomiyasu,JPN,DF,Arsenal,26.555332783237663,131565.2387978508,6459148.3820732655
Dean Henderson,ENG,GK,Crystal Palace,27.34791201002308,115221.47110036308,5878925.38690177
Eberechi Eze,ENG,"MF,FW",Crystal Palace,24.776946726173332,121267.86890784591,6608603.721483218
Edson Álvarez,MEX,MF,West Ham,27.110096840576308,111918.99585151688,6737886.751288648
Max Kilman,ENG,DF,West Ham,28.610952619126614,133574.48116332723,6639106.377404176
Diego Carlos,BRA,DF,Aston Villa,31.854753613735323,134020.65387741372,5997373.943215026
Ian Maatsen,NED,DF,Aston Villa,19.822371595721798,115594.39448268406,5887554.442988509
Pau Torres,ESP,DF,Aston Villa,29.42146012140022,112563.93234642959,6783595.2125160135
Tyrone Mings,ENG,DF,Aston Villa,31.342167457686948,123035.72359828261,6071482.956293737
Matt Targett,ENG,DF,Newcastle Utd,27.674664389303835,110264.82451919692,6043870.262297905
Ederson,BRA,GK,Manchester City,30.62927633047288,133991.0674963036,6602719.550510866
Carney Chukwuemeka,ENG,CM,Chelsea,20.44748048903601,129457.7700297634,6816743.836638121
Levi Colwill,ENG,DF,Chelsea,21.462116382523238,114930.35851611562,6145874.518264811
Mykhailo Mudryk,UKR,FW,Chelsea,23.78648425328279,124129.07251361574,6313489.428984825
Nicolas Jackson,SEN,FW,Chelsea,21.223322996803567,115501.11972106599,5932948.198154189
Dominic Calvert-Lewin,ENG,FW,Everton,26.892485156662904,128930.16112387163,5830009.830198285
James Tarkowski,ENG,DF,Everton,31.94260005164964,111754.82604180086,6243595.385339945
Raúl Jiménez,MEX,FW,Fulham,34.96850033147831,129760.28001946933,6028102.200862708
Reiss Nelson,ENG,FW,Fulham,23.428076337839993,111175.92903882418,6251475.732129953
Emerson Palmieri,ITA,DF,West Ham,31.159562598138404,118855.63452916556,5496391.9252790185
Jurriën Timber,NED,DF,Arsenal,23.2970711539345,102077.04177483053,5976834.33440899
Leandro Trossard,BEL,FW,Arsenal,28.957701017259055,110118.55852906771,5497790.348485595
Dominic Solanke,ENG,FW,Tottenham,25.60881745954602,110654.50755373934,5365300.512049174
Richarlison,BRA,FW,Tottenham,25.92562789871486,104560.3662636431,5854036.722141842
Eddie Nketiah,ENG,"FW,MF",Crystal Palace,24.84577836034111,113738.26389771365,5813388.151047573
Aaron Wan-Bissaka,ENG,DF,West Ham,28.103359578145763,116817.84776824273,5539407.752669629
Mohammed Kudus,,AM,West Ham,26.187270803892787,117723.53387291823,5643790.077894485
Niclas Füllkrug,GER,FW,West Ham,33.84462088315024,120417.57931541487,6042029.741863769
Tomáš Souček,CZE,MF,West Ham,29.391629733099773,112751.20126272691,6017314.442817994
Gonçalo Guedes,POR,"MF,FW",Wolves,29.048615702018107,99421.01923011102,6136989.947760145
Pablo Sarabia,ESP,"MF,FW",Wolves,33.89582618567332,105891.01676464305,5883411.490671771
Harry Winks,ENG,MF,Leicester City,30.770697161553457,100076.36988939346,5700866.019611331
Odsonne Édouard,FRA,FW,Leicester City,24.225023212776343,110192.09461586803,5248298.320281027
Sven Botman,NED,DF,Newcastle Utd,26.235637928566753,111155.72434324265,5904173.8515022285
Stefan Ortega,GER,GK,Manchester City,32.13214550733763,118927.34369332217,5843993.966258335
Benoît Badiashile,FRA,DF,Chelsea,24.953432536762733,117801.41489586912,5849156.887988852
Jack Harrison,ENG,FW,Everton,25.10910630080013,113758.61513967055,6145731.694930347
Joachim Andersen,DEN,DF,Fulham,25.932476979682356,114715.34220159627,5842759.975218637
Leander Dendoncker,BEL,DM,Aston Villa,28.789557139975496,112775.38578716585,6688706.807055361
Willian,BRA,"FW,MF",Fulham,38.08409692323929,122676.75750126451,6063256.9846917875
Ferdi Kadioglu,TUR,"DF,MF",Brighton,22.861366737968122,101515.87212794593,5900006.622177409
Diogo Dalot,POR,DF,Manchester Utd,24.47434989113257,107748.64165823667,5878363.134850265
Rasmus Højlund,DEN,FW,Manchester Utd,22.715975516155574,108044.66629279102,4982744.184485883
Pedro Porro,ESP,DF,Tottenham,25.55464909203033,96919.50068844772,5870544.402211014
Radu Drăgușin,ROU,DF,Tottenham,20.72089519115002,93542.5373216588,4994208.370240304
Evanilson,BRA,FW,Bournemouth,25.844079018033867,104557.99553211527,5593082.10261833
Michail Antonio,JAM,FW,West Ham,34.65516974589139,99002.12146678392,5086406.362181964
Joe Gomez,ENG,DF,Liverpool,24.96590161151302,97168.94569120431,4859598.854394446
Mathys Tel,FRA,FW,Tottenham,18.067945410821945,115870.78763453054,5995539.978398618
Ben Davies,WAL,DF,Tottenham,29.93827652131026,98637.6571095333,4995201.787282992
Justin Kluivert,NED,"MF,FW",Bournemouth,24.361623885729454,97276.88151502196,5532425.706353038
Carlos Soler,ESP,"MF,FW",West Ham,27.043276032417083,99975.32706740205,5426782.02359781
Matty Cash,POL,DF,Aston Villa,23.73162548728319,106170.96353313686,4812561.870030348
Nélson Semedo,POR,DF,Wolves,29.105485309141372,98642.97141387608,5224515.740131574
Boubakary Soumaré,FRA,MF,Leicester City,25.032342558875666,106433.42753168228,5070708.116326126
Ricardo Pereira,POR,DF,Leicester City,32.70571963953379,96212.00164420881,4884844.367056114
Harvey Barnes,ENG,FW,Newcastle Utd,24.011969620184423,93526.24001183051,4647379.947450392
Joe Willock,ENG,"MF,FW",Newcastle Utd,23.894745590836106,106990.36570364506,5571833.382372581
Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,26.989557652911195,101812.22984679868,5441021.5311711775
Kaoru Mitoma,JPN,"FW,MF",Brighton,26.149579405530634,99928.68927276159,4686256.134793007
Lewis Dunk,ENG,DF,Brighton,29.865180869820477,100701.15372382781,5405028.236245585
Michael Keane,ENG,DF,Everton,33.96683674340685,92500.08730720106,5492774.423699227
Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,23.545768398232152,90829.27487360142,4816980.970891304
Chris Wood,NZL,FW,Nott'ham Forest,32.45945136320799,88915.48921978884,5294072.446925702
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24.680941250481915,91230.91520075298,5311058.483653901
Alex Iwobi,NGA,"FW,MF",Fulham,28.253068220896218,102500.15033142583,4633469.93523607
Ben Godfrey,ENG,DF,Ipswich Town,25.923666586239676,105481.83561571015,5653354.752658501
Tyrell Malacia,NED,DF,Manchester Utd,22.915765470679332,85491.91254724184,4296001.983695075
Archie Gray,,CM,Tottenham,17.782114069518453,84114.8716970074,4559272.277838247
Destiny Udogie,ITA,DF,Tottenham,19.73861097863247,90427.13113078558,5218683.31944669
Fraser Forster,ENG,GK,Tottenham,38.92207855428377,83397.19027334046,4726270.23647723
Guglielmo Vicario,ITA,GK,Tottenham,28.392686657699365,97376.34494464149,4736261.943882995
Rodrigo Bentancur,URU,MF,Tottenham,28.577069668752312,83965.6256722366,4507045.755324683
Kepa Arrizabalaga,ESP,GK,Bournemouth,29.32156139816843,97757.10952937359,4382203.660607172
Guido Rodríguez,ARG,MF,West Ham,27.404273784001834,83459.80054482057,4530075.016979303
Kostas Tsimikas,GRE,DF,Liverpool,27.064383197949397,83435.03498837892,5130663.053022712
Emi Buendía,ARG,"MF,FW",Aston Villa,26.35277287824908,93129.03115150158,4591112.094597057
Ezri Konsa,ENG,DF,Aston Villa,25.29088908194616,97113.53218074092,4375214.177017579
Jáder Durán,COL,FW,Aston Villa,20.749327028231246,86397.51982682431,4374718.053197352
Morgan Rogers,ENG,"FW,MF",Aston Villa,21.543802925540426,84196.26161530137,4616097.057274209
Conor Coady,ENG,DF,Leicester City,31.741670110007,98387.12497164193,4460234.475304085
Patson Daka,ZAM,"FW,MF",Leicester City,23.414442566881245,85850.29554321809,4899273.007073804
Wilfred Ndidi,NGA,MF,Leicester City,25.5388200031245,98307.32529292148,4453745.181098569
Georginio Rutter,FRA,"MF,FW",Brighton,22.4430349814576,89733.73053529525,4834677.5072663175
Ibrahim Sangaré,CIV,MF,Nott'ham Forest,24.9271113536496,92759.05218676821,4592684.273076188
Jan Bednarek,POL,DF,Southampton,27.308839837017334,80116.87339677855,4266779.005610463
Joe Aribo,NGA,"MF,DF",Southampton,30.490682385941646,84343.327493031,4439141.992505746
Brennan Johnson,WAL,FW,Tottenham,22.113220959981078,78049.87312840919,4853666.182828852
Pape Matar Sarr,SEN,MF,Tottenham,22.28141380879138,85884.61264758128,4559373.318180917
Cheick Doucouré,MLI,MF,Crystal Palace,25.273548804672064,84692.61228679605,4427020.317858969
Ismaila Sarr,SEN,MF,Crystal Palace,25.62463849516357,89587.24048083062,4690976.129222918
Jefferson Lerma,COL,"MF,DF",Crystal Palace,30.885064804712744,83666.6376863212,4280718.610052656
Ryan Christie,SCO,MF,Bournemouth,28.746837232509712,84456.09828138497,4183405.723668569
Ibrahima Konaté,FRA,DF,Liverpool,25.725384221935116,84788.98903344542,4132513.7229470136
Jacob Ramsey,ENG,"FW,MF",Aston Villa,22.762530939774745,91462.82345478129,4608013.017512851
Hwang Hee-chan,KOR,"MF,FW",Wolves,27.10729770405488,89318.60425136588,4152501.193113696
Aaron Hickey,SCO,RB,Brentford,22.34774726632745,79281.33841557629,4854457.385899636
Issa Diop,FRA,DF,Fulham,24.582653655041124,81176.58504502986,4688681.068793975
Mason Holgate,ENG,"FW,DF",Everton,28.48628215429176,95339.37330232974,4728577.19777265
Jonny Evans,NIR,DF,Manchester Utd,34.05112472989064,73793.19886168142,4034855.3383074566
Maxwel Cornet,CIV,FW,Southampton,25.665674741766843,79466.29268264007,4061768.8335007834
Luis Sinisterra,COL,"FW,MF",Bournemouth,25.829937456734648,86657.42009798497,4246731.222925894
Łukasz Fabiański,POL,GK,West Ham,36.826854471188554,80749.28641514752,4368543.218487015
Adama Traoré,ESP,"FW,MF",Fulham,26.02014652132565,84080.98669874879,3859467.5895526474
Timothy Castagne,BEL,DF,Fulham,29.699062987497964,80578.9158448835,3833740.880406675
Nathaniel Phillips,ENG,CB,Liverpool,26.490956518323596,93453.35937037235,4727215.742749228
Saša Lukić,SRB,MF,Fulham,25.497357716315882,70380.42606979256,3989397.3680508626
Giorgi Mamardashvili,GEO,,Liverpool,22.13209807757537,77606.57631816565,3950400.847877143
Nicolás González,ESP,MF,Manchester City,21.155498188377784,77971.26664931112,3956734.187183559
Adam Armstrong,ENG,"FW,MF",Southampton,24.95282934550402,66822.58803881226,3545320.941200714
Jeffrey Schlupp,GHA,"MF,DF",Crystal Palace,33.19612672385398,66456.36405908823,3785403.047626393
Lewis Cook,ENG,"MF,DF",Bournemouth,26.280279045436238,77913.86510715097,3629470.474524025
Tyler Adams,USA,MF,Bournemouth,22.93428312130869,74363.89391981588,4040215.9226752245
Matheus Cunha,BRA,"MF,FW",Wolves,25.56450682719119,76460.2267380031,4074487.0847021188
Jannik Vestergaard,DEN,DF,Leicester City,33.03739932579115,73822.17992100603,4143260.1241805903
Miguel Almirón,PAR,FW,Newcastle Utd,30.866953877412094,71665.41822368602,3748568.062144318
Nick Pope,ENG,GK,Newcastle Utd,29.01606513751936,78157.27720243248,3777758.2482846705
Robert Sánchez,ESP,GK,Chelsea,25.63456765152815,69610.0865355026,3928875.1923784646
Danny Welbeck,ENG,FW,Brighton,33.422243160544404,77428.8581419545,4126607.1441493956
James Milner,ENG,MF,Brighton,39.19091958729967,78309.36253333058,3762065.7284415406
Mats Wieffer,NED,"MF,DF",Brighton,23.174456518811493,73022.91750671156,3645260.7081924696
Emile Smith Rowe,ENG,MF,Fulham,22.62747280904993,73325.38628617946,3726982.229523354
Manor Solomon,ISR,LW,Tottenham,24.94933868850563,76251.71779005883,4146920.4244069164
Jakub Kiwior,POL,DF,Arsenal,23.61298786617926,77880.81666059083,3762450.255839424
Vitaliy Mykolenko,UKR,DF,Everton,24.063406924526483,75735.55501647216,4007656.065742005
Yves Bissouma,MLI,MF,Tottenham,28.98608376889859,68666.29881615628,3576991.171603445
Chris Richards,USA,DF,Crystal Palace,24.67371979125364,71001.47078227879,3511282.597460073
Luis Díaz,COL,FW,Liverpool,26.48366660829856,69014.6203035894,3157372.1770889424
Boubacar Traoré,MLI,MF,Wolves,20.23679412932736,63045.331702909956,3714358.699691373
Dan Burn,ENG,DF,Newcastle Utd,33.66324633993677,66749.47128885507,3373727.8185425093
Emil Krafth,SWE,DF,Newcastle Utd,26.183529538791387,69781.52691646168,3265387.3739184546
Ben Mee,ENG,DF,Brentford,33.343752231638454,65783.05376476623,3238357.154521291
Adam Webster,ENG,DF,Brighton,28.668029341522733,65077.790499809926,3203118.935503722
Séamus Coleman,IRL,DF,Everton,35.29827278078771,60656.630568165725,3480842.7834302527
Sander Berge,NOR,MF,Fulham,25.11842590991617,72931.19584555672,3461619.5904873
Sergio Reguilón,ESP,DF,Tottenham,26.745746398724087,67257.5807902422,3247983.425579969
Marshall Munetsi,ZIM,"MF,FW",Wolves,29.62111496892311,66030.54856620281,3299397.903633477
Jesper Lindstrøm,DEN,FW,Everton,25.036489176344666,61267.84155740618,3534966.8159094164
Neto,BRA,GK,Arsenal,38.16120836018243,57442.09165410702,3471452.192195664
Alejandro Garnacho,,LW,Manchester Utd,20.982959414631388,56773.67680314174,3007405.5313276667
Djed Spence,ENG,DF,Tottenham,21.39996826696708,65247.90868506024,3405946.6024781824
Micky van de Ven,NED,DF,Tottenham,24.50982744403989,64964.68420948091,3436609.077968935
Jean-Philippe Mateta,FRA,FW,Crystal Palace,27.554094462604375,62833.972395126664,2942324.875460337
Marc Guéhi,ENG,DF,Crystal Palace,23.52673902884228,57734.7760951679,3043421.695139519
Maxence Lacroix,FRA,DF,Crystal Palace,22.83511244618966,60930.03456544363,2949277.6587632815
Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,32.20427258665019,63274.72976549965,3391996.0624558027
Trevoh Chalobah,ENG,DF,Crystal Palace,25.712260637230493,63218.86965452912,3148356.6013040277
Will Hughes,ENG,MF,Crystal Palace,31.396110457884706,56069.738522131294,3019135.6679583425
Antoine Semenyo,GHA,FW,Bournemouth,23.36360374079074,61845.43982433735,3294939.850293241
David Brooks,WAL,"FW,MF",Bournemouth,25.824862773279936,59600.54491013091,3359144.724360672
Ilya Zabarnyi,,CB,Bournemouth,22.041826684473932,60391.34173874968,3224543.5256943265
Marcos Senesi,ARG,DF,Bournemouth,26.085627011123705,65117.58744168219,2861404.0622328282
Aaron Cresswell,ENG,DF,West Ham,35.97117879379719,57061.94080387635,2953360.8501163367
Konstantinos Mavropanos,GRE,DF,West Ham,27.814199778680734,59428.6198477066,3234934.249046288
Wataru Endo,JPN,"MF,DF",Liverpool,30.584964695313847,57003.42276189208,3194438.5603503156
Robin Olsen,SWE,GK,Aston Villa,34.11467596951957,61202.76624714311,3445610.4540944793
Matt Doherty,IRL,DF,Wolves,29.650562972669835,65044.16316097705,3171794.2872184627
Hamza Choudhury,BAN,"MF,DF",Leicester City,28.41944324247232,59348.19943730044,2887116.820748306
Oliver Skipp,ENG,MF,Leicester City,22.817418025224185,62088.71793825421,3060371.7996248123
Wout Faes,BEL,DF,Leicester City,24.193681526852107,55440.75904624759,3452919.0006640158
Odisseas Vlachodimos,GRE,GK,Newcastle Utd,29.551980246949093,64644.02499732119,2971874.6626402037
Sean Longstaff,ENG,MF,Newcastle Utd,27.218140749673303,59619.4799151222,3020831.8037872277
Valentino Livramento,ENG,DF,Newcastle Utd,21.35931808939812,64858.12662836351,3218216.484569574
Jeremy Doku,BEL,"FW,MF",Manchester City,19.99458144473392,56827.87292336963,3232556.4334349004
Oscar Bobb,,RW,Manchester City,20.884083341013383,64893.02100922989,3233698.1301073185
Igor Thiago,,CF,Brentford,22.67256579124162,62430.80312319721,3031295.7277200804
Mathias Jensen,DEN,MF,Brentford,28.491727774022074,64159.58171015635,3145346.9993317802
Filip Jørgensen,DEN,GK,Chelsea,20.174254631942826,55272.097495329675,2861974.5803514365
Marc Guiu,,CF,Chelsea,18.571377536078998,62581.62530599569,3010051.9252544474
Noni Madueke,,RW,Chelsea,21.876831832331042,62256.87255321283,3283113.496114849
Brajan Gruda,,RW,Brighton,20.37323848605645,57330.531046725206,3323082.0360694183
João Pedro,BRA,"FW,MF",Brighton,22.800501041165862,57027.96117428102,3148041.8508578194
Joël Veltman,NED,DF,Brighton,32.305144958217646,58805.183234577715,2990140.6932223523
Matt O'Riley,DEN,MF,Brighton,21.460675135732536,65295.47575168044,3019731.685723969
Pervis Estupiñán,ECU,DF,Brighton,27.03535258596161,63345.81594417485,3255240.9116077395
Solly March,ENG,"FW,MF",Brighton,27.738585389695544,64193.950822018145,2891890.005852246
Beto,GNB,FW,Everton,28.547303318575626,55551.85527894483,3135132.0465547484
Orel Mangala,BEL,MF,Everton,27.55233050507706,66564.03425492956,2991932.2695916314
Neco Williams,WAL,DF,Nott'ham Forest,23.22827440197063,55029.91174665866,2907552.6655285726
Ryan Yates,ENG,MF,Nott'ham Forest,27.95733084024511,63609.35158575822,2970910.4842975657
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26.13340515450694,58655.67998756061,3331743.2334650154
Andreas Pereira,BRA,MF,Fulham,30.371585638847883,60672.709290559884,3092317.9789959644
Antonee Robinson,USA,DF,Fulham,26.900200543246928,59563.525820814386,3445046.997693294
Harrison Reed,ENG,MF,Fulham,30.59022033659938,55969.02534573853,3349196.5908380295
Kenny Tete,NED,DF,Fulham,28.090218796790772,60052.867568400856,3149298.538277302
Callum Wilson,ENG,FW,Newcastle Utd,31.864539920219848,58305.49524998858,3107052.6781693227
Emmanuel Agbadou,CIV,DF,Wolves,27.89802298773585,59558.48759888781,3292058.060335382
Tom Heaton,ENG,GK,Manchester Utd,41.61419607833726,51118.81641946948,2771915.662855323
Adam Lallana,ENG,MF,Southampton,37.11855736459608,51092.24954863491,2683786.2877207226
Jack Stephens,ENG,DF,Southampton,31.595037458323795,54129.45572249208,2613058.974890118
Lesley Ugochukwu,FRA,MF,Southampton,18.866956582292403,50563.55914462544,2658309.9165219506
Daniel Muñoz,COL,DF,Crystal Palace,26.898079100987758,58562.04407388691,3115322.905208284
Rob Holding,ENG,DF,Crystal Palace,28.95476136142628,54630.986363164084,2764603.089337033
Philip Billing,DEN,MF,Bournemouth,29.743736561020764,57794.882628903586,2833504.9945156574
Craig Dawson,ENG,DF,Wolves,33.798857603463944,51718.70239293574,2986479.6689020745
Mario Lemina,GAB,"MF,DF",Wolves,32.06307694434072,54307.98991012646,3105207.4535426386
Fabian Schär,SUI,DF,Newcastle Utd,32.34312403507725,51728.26036564111,2839303.3461389854
Bryan Mbeumo,CMR,FW,Brentford,21.699640991337624,59659.66485956137,2807716.486008369
Malo Gusto,FRA,DF,Chelsea,20.88784802940813,50684.323916459034,2580736.908736975
Roméo Lavia,,DM,Chelsea,19.82438051780226,52641.4383442429,2939607.439569264
Igor,BRA,DF,Brighton,24.10826411262868,53097.652694648736,2598960.7573465523
Iliman Ndiaye,SEN,FW,Everton,25.874604304038787,60043.235614032405,2956214.098434071
Calvin Bassey,NGA,DF,Fulham,24.026743067213324,58594.18546556885,2574810.3240992217
Ryan Sessegnon,ENG,"FW,DF",Fulham,24.301178366552957,55762.692961965404,2592524.353685209
Fabio Vieira,POR,AM,Arsenal,23.21586826435273,53779.83184957231,3328863.247339415
Patrick Dorgu,,LB,Manchester Utd,19.701752021169444,50865.64107504586,3050072.4634030326
Axel Disasi,FRA,DF,Aston Villa,23.674141284436143,57380.14930414642,3026164.357581487
Vitor Reis,,CB,Manchester City,18.982557152318485,51935.66474362679,2738830.883806396
Alex McCarthy,ENG,GK,Southampton,36.42161119589811,52359.24203422956,2446616.526602211
Cameron Archer,ENG,FW,Southampton,25.168867934873205,53394.85789400193,2397537.5383008267
Kamaldeen Sulemana,GHA,"FW,MF",Southampton,22.972721946238956,50279.66966348152,2350267.604636053
Ryan Fraser,SCO,"FW,DF",Southampton,29.041791906462077,48185.46782946732,2531927.191247036
Yukinari Sugawara,JPN,"DF,MF",Southampton,22.28494163472966,52336.6987374598,2666490.428526366
Matheus França,,AM,Crystal Palace,21.027211921682706,50267.541662456555,2414425.8319987613
Matt Turner,USA,GK,Crystal Palace,31.89000038436364,50234.23205330824,2508488.362549051
Tyrick Mitchell,ENG,DF,Crystal Palace,25.10338602270104,45713.35246700993,2493749.4359288993
Adam Smith,ENG,DF,Bournemouth,36.281881929173615,47680.69835375883,2431510.663662284
Alex Scott,ENG,MF,Bournemouth,21.589136110405143,45668.27138960098,2672638.276268119
Harvey Elliott,ENG,"MF,FW",Liverpool,19.78119718046235,48397.19333727884,2544061.8472859394
Jaden Philogene Bidace,ENG,"FW,MF",Aston Villa,19.8349838000133,50169.39144764534,2296879.611160734
José Sá,POR,GK,Wolves,33.97395964055459,45558.6092994087,2413328.8702191217
Sam Johnstone,ENG,GK,Wolves,33.98384091818531,45177.564091089116,2347275.063169037
Danny Ward,WAL,GK,Leicester City,32.25698947116104,52980.103215291616,2462770.6211498026
Jamaal Lascelles,ENG,DF,Newcastle Utd,30.334676535875932,47268.896229713624,2565757.0624378286
Martin Dúbravka,SVK,GK,Newcastle Utd,37.88607282394141,49473.65562572028,2737708.701517623
Axel Tuanzebe,COD,DF,Ipswich Town,25.673644556772896,47582.526458783504,2394127.953194023
Sávio,BRA,"FW,MF",Manchester City,20.550105322715595,49516.24491530084,2325142.544212802
Fabio Carvalho,POR,"FW,MF",Brentford,21.645082967059963,47610.2414901317,2553952.4038148616
Kristoffer Ajer,NOR,DF,Brentford,28.42253175787455,44703.53116952009,2584414.695658051
Yankuba Minteh,,RW,Brighton,19.618088712230623,53496.09302329224,2303589.464953269
Armando Broja,ALB,FW,Everton,23.594333992944524,50915.83918293945,2625530.2148233633
Ashley Young,ENG,DF,Everton,42.74105846285996,50101.55178052143,2495441.80019093
Elliot Anderson,ENG,MF,Nott'ham Forest,20.894403703782487,46954.66089304237,2781407.2353603723
Emmanuel Dennis,NGA,CF,Nott'ham Forest,28.427764523010666,48561.40510730931,2468337.257901664
Ola Aina,NGA,DF,Nott'ham Forest,29.223347913540305,47917.36525061014,2595154.651964488
Willy Boly,CIV,DF,Nott'ham Forest,35.30458330339097,45945.257525851615,2544012.797688325
Carlos Vinícius,BRA,"MF,FW",Fulham,31.692876370606506,52873.194163499924,2372668.5638711066
Stefan Bajcetic,,DM,Liverpool,21.347664722606797,50571.41290741115,2786693.151751867
Harry Souttar,AUS,CB,Leicester City,28.559621633158038,54212.88034276594,2973486.8181077777
Deivid Washington,,CF,Chelsea,18.77865069282183,54612.95791094454,2481836.483972216
Jens Cajuste,SWE,MF,Ipswich Town,25.94267058969566,47731.2480641014,2228422.25945153
Altay Bayındır,TUR,GK,Manchester Utd,26.84873924318153,43436.85874031905,2348393.772266984
Ben Brereton,CHI,FW,Southampton,24.746414295905264,43316.96200983055,2165108.034709764
Adam Wharton,,DM,Crystal Palace,19.41932416273949,46371.22821441479,2354740.841532201
Joel Ward,ENG,DF,Crystal Palace,36.05406199301995,42428.90289125915,2333923.3801710564
Dango Ouattara,BFA,FW,Bournemouth,22.73763048946687,39031.46890338065,2230566.744030969
Marcus Tavernier,ENG,"FW,MF",Bournemouth,25.179150008489692,46076.67487304376,2284750.903619074
Max Aarons,ENG,DF,Bournemouth,23.614848836385924,42283.9786826437,2125374.9065421475
Vladimír Coufal,CZE,DF,West Ham,29.131412599141026,40288.298352980535,2376076.7573257764
André,BRA,MF,Wolves,24.55829452748964,41052.588991183744,2093537.5068448104
